id,customer,date,amount,last_updated
1728,Target,2025-04-21,1125,2025-04-21T00:14:00
2041,eBay,2025-04-22,1338,2025-04-22T08:54:00
8447,eBay,2025-04-22,1234,2025-04-22T04:31:00
7226,Costco,2025-04-22,1098,2025-04-22T07:48:00
9053,Target,2025-04-22,1301,2025-04-22T15:01:00
9173,Costco,2025-04-22,1141,2025-04-22T10:08:00
4416,Walmart,2025-04-23,1605,2025-04-23T08:05:00
4535,Costco,2025-04-23,1580,2025-04-23T09:33:00
4970,BestBuy,2025-04-23,323,2025-04-23T09:28:00
4976,BestBuy,2025-04-23,694,2025-04-23T02:09:00
9008,Target,2025-04-23,1408,2025-04-23T19:18:00
8910,Costco,2025-04-23,571,2025-04-23T07:05:00
5549,eBay,2025-04-24,208,2025-04-24T14:45:00
5245,BestBuy,2025-04-24,402,2025-04-24T06:35:00
9700,Walmart,2025-04-24,1788,2025-04-24T02:20:00
9847,Amazon,2025-04-24,618,2025-04-24T19:24:00
8751,BestBuy,2025-04-25,1511,2025-04-25T21:25:00
3028,eBay,2025-04-25,1424,2025-04-25T02:34:00
6274,Amazon,2025-04-25,1165,2025-04-25T01:02:00
1542,Costco,2025-04-26,915,2025-04-26T04:14:00
4432,Costco,2025-04-26,1442,2025-04-26T02:33:00
7771,BestBuy,2025-04-26,107,2025-04-26T22:46:00
2789,Walmart,2025-04-26,1291,2025-04-26T01:08:00
8964,Amazon,2025-04-26,915,2025-04-26T19:48:00
4187,eBay,2025-04-26,245,2025-04-26T15:45:00
1403,BestBuy,2025-04-27,346,2025-04-27T12:39:00
3975,Costco,2025-04-27,1886,2025-04-27T12:00:00
3340,Walmart,2025-04-27,1465,2025-04-27T06:58:00
4094,Costco,2025-04-27,846,2025-04-27T01:01:00
3056,Costco,2025-04-27,1908,2025-04-27T15:34:00
7342,Amazon,2025-04-27,1717,2025-04-27T23:42:00
1138,Costco,2025-04-28,1779,2025-04-28T05:45:00
2921,Costco,2025-04-28,848,2025-04-28T10:57:00
9655,eBay,2025-04-28,1897,2025-04-28T11:47:00
9359,Target,2025-04-29,1498,2025-04-29T19:06:00
2257,eBay,2025-04-29,785,2025-04-29T20:42:00
9728,eBay,2025-04-29,812,2025-04-29T07:08:00
3313,eBay,2025-04-29,243,2025-04-29T21:39:00
1604,Target,2025-04-30,920,2025-04-30T15:45:00
1876,BestBuy,2025-04-30,1420,2025-04-30T18:23:00
8405,Target,2025-04-30,1509,2025-04-30T00:40:00
8330,eBay,2025-04-30,1235,2025-04-30T19:00:00
7849,Amazon,2025-04-30,1450,2025-04-30T23:49:00
7712,Walmart,2025-05-01,1030,2025-05-01T14:47:00
3460,Costco,2025-05-01,1838,2025-05-01T22:48:00
8437,Costco,2025-05-01,435,2025-05-01T07:11:00
3920,Walmart,2025-05-01,118,2025-05-01T19:00:00
8098,Amazon,2025-05-01,564,2025-05-01T18:06:00
6043,BestBuy,2025-05-02,1567,2025-05-02T18:44:00
3424,eBay,2025-05-02,1124,2025-05-02T05:51:00
3289,Target,2025-05-02,1253,2025-05-02T05:48:00
9997,Amazon,2025-05-02,1975,2025-05-02T15:32:00
7781,Walmart,2025-05-02,1087,2025-05-02T14:08:00
8341,Walmart,2025-05-02,391,2025-05-02T05:04:00
1741,Costco,2025-05-03,547,2025-05-03T12:45:00
3718,BestBuy,2025-05-03,1466,2025-05-03T12:33:00
7492,Costco,2025-05-03,644,2025-05-03T22:16:00
8900,Costco,2025-05-03,1023,2025-05-03T21:54:00
8510,Target,2025-05-04,1644,2025-05-04T03:54:00
5215,Walmart,2025-05-04,661,2025-05-04T10:00:00
7388,Amazon,2025-05-04,472,2025-05-04T23:50:00
1539,Walmart,2025-05-04,1893,2025-05-04T09:12:00
9763,Amazon,2025-05-05,1041,2025-05-05T21:10:00
5511,Amazon,2025-05-05,822,2025-05-05T12:34:00
5300,Target,2025-05-05,1445,2025-05-05T19:36:00
8433,Amazon,2025-05-05,1105,2025-05-05T17:00:00
8168,BestBuy,2025-05-05,843,2025-05-05T03:05:00
4973,BestBuy,2025-05-06,1098,2025-05-06T02:31:00
5752,eBay,2025-05-06,591,2025-05-06T13:27:00
9147,Walmart,2025-05-06,1116,2025-05-06T10:21:00
6793,Costco,2025-05-07,761,2025-05-07T10:01:00
5585,Costco,2025-05-07,1982,2025-05-07T16:48:00
3589,Target,2025-05-07,1226,2025-05-07T14:23:00
4330,Amazon,2025-05-08,1196,2025-05-08T05:40:00
9167,Walmart,2025-05-08,1229,2025-05-08T09:01:00
5799,Amazon,2025-05-08,1961,2025-05-08T01:49:00
3190,BestBuy,2025-05-08,1706,2025-05-08T03:30:00
8778,Costco,2025-05-09,675,2025-05-09T17:40:00
3476,Amazon,2025-05-09,972,2025-05-09T03:18:00
3418,Amazon,2025-05-09,1550,2025-05-09T13:22:00
2497,Costco,2025-05-10,1546,2025-05-10T12:44:00
2770,Amazon,2025-05-10,925,2025-05-10T10:10:00
1133,eBay,2025-05-10,747,2025-05-10T20:32:00
4676,eBay,2025-05-10,1558,2025-05-10T17:23:00
2926,eBay,2025-05-10,1354,2025-05-10T11:25:00
5083,Walmart,2025-05-11,1938,2025-05-11T17:50:00
8408,eBay,2025-05-11,221,2025-05-11T17:33:00
8051,Target,2025-05-11,946,2025-05-11T01:35:00
1822,Costco,2025-05-11,753,2025-05-11T23:02:00
9509,Costco,2025-05-11,324,2025-05-11T09:11:00
7101,Amazon,2025-05-12,1990,2025-05-12T04:53:00
6337,Walmart,2025-05-12,270,2025-05-12T13:21:00
4059,Costco,2025-05-12,1824,2025-05-12T13:42:00
1595,eBay,2025-05-13,1777,2025-05-13T06:45:00
4487,Amazon,2025-05-13,1613,2025-05-13T22:05:00
8098,Amazon,2025-05-13,1367,2025-05-13T18:35:00
8282,Walmart,2025-05-13,1670,2025-05-13T00:13:00
4755,Walmart,2025-05-13,1639,2025-05-13T03:03:00
1016,Costco,2025-05-13,1609,2025-05-13T02:44:00
2843,Amazon,2025-05-14,1410,2025-05-14T01:09:00
7630,BestBuy,2025-05-14,1334,2025-05-14T15:06:00
7967,Walmart,2025-05-14,198,2025-05-14T07:25:00
8617,Target,2025-05-15,1186,2025-05-15T16:38:00
9408,BestBuy,2025-05-15,1227,2025-05-15T15:59:00
5894,Amazon,2025-05-15,613,2025-05-15T01:42:00
6363,Walmart,2025-05-15,671,2025-05-15T16:52:00
2584,eBay,2025-05-15,695,2025-05-15T04:29:00
5530,Target,2025-05-15,751,2025-05-15T16:25:00
1330,Walmart,2025-05-16,1335,2025-05-16T18:54:00
9057,Amazon,2025-05-16,174,2025-05-16T15:11:00
4903,BestBuy,2025-05-16,1788,2025-05-16T11:40:00
1978,Amazon,2025-05-16,897,2025-05-16T10:37:00
7109,Target,2025-05-17,750,2025-05-17T18:58:00
6168,Walmart,2025-05-17,1185,2025-05-17T11:49:00
4894,Target,2025-05-17,511,2025-05-17T13:41:00
8110,Amazon,2025-05-18,536,2025-05-18T16:03:00
7283,Target,2025-05-18,746,2025-05-18T09:36:00
7295,Target,2025-05-18,1709,2025-05-18T16:14:00
6683,Walmart,2025-05-18,1485,2025-05-18T15:18:00
9068,Walmart,2025-05-18,1734,2025-05-18T06:27:00
9463,BestBuy,2025-05-18,1204,2025-05-18T16:09:00
8695,Costco,2025-05-19,1253,2025-05-19T02:41:00
7491,Costco,2025-05-19,318,2025-05-19T22:41:00
5356,Target,2025-05-19,620,2025-05-19T11:17:00
6103,BestBuy,2025-05-19,987,2025-05-19T06:00:00
8513,Amazon,2025-05-19,125,2025-05-19T19:09:00
8659,Costco,2025-05-19,518,2025-05-19T05:49:00
8377,Walmart,2025-05-20,1626,2025-05-20T11:07:00
6301,Target,2025-05-20,705,2025-05-20T20:58:00
1846,Target,2025-05-20,264,2025-05-20T18:38:00
7104,Costco,2025-05-20,1602,2025-05-20T23:45:00
5164,Amazon,2025-05-21,1827,2025-05-21T14:47:00
5504,eBay,2025-05-21,675,2025-05-21T20:46:00
9432,Walmart,2025-05-21,1053,2025-05-21T19:49:00
7442,Amazon,2025-05-21,1186,2025-05-21T17:30:00
1130,Amazon,2025-05-21,591,2025-05-21T13:19:00
1166,eBay,2025-05-21,932,2025-05-21T19:00:00
6346,Costco,2025-05-22,1548,2025-05-22T14:40:00
2734,Walmart,2025-05-22,1569,2025-05-22T12:11:00
1371,eBay,2025-05-22,1505,2025-05-22T09:24:00
3016,Target,2025-05-23,451,2025-05-23T22:22:00
7466,Target,2025-05-23,322,2025-05-23T20:19:00
6211,Target,2025-05-23,1567,2025-05-23T20:09:00
3814,Walmart,2025-05-24,1452,2025-05-24T10:56:00
3069,Amazon,2025-05-24,679,2025-05-24T19:50:00
3725,eBay,2025-05-24,917,2025-05-24T02:02:00
5592,Amazon,2025-05-24,1999,2025-05-24T13:10:00
2793,Walmart,2025-05-25,475,2025-05-25T05:38:00
2766,Costco,2025-05-25,1854,2025-05-25T02:32:00
8010,Amazon,2025-05-25,1728,2025-05-25T14:13:00
7546,Amazon,2025-05-25,1722,2025-05-25T05:23:00
8088,Amazon,2025-05-26,499,2025-05-26T07:59:00
6022,BestBuy,2025-05-26,1614,2025-05-26T07:08:00
7656,Walmart,2025-05-26,896,2025-05-26T22:38:00
1515,Target,2025-05-27,294,2025-05-27T08:18:00
3411,Walmart,2025-05-27,622,2025-05-27T20:12:00
9401,Amazon,2025-05-27,419,2025-05-27T22:22:00
5422,BestBuy,2025-05-27,607,2025-05-27T15:10:00
7629,Target,2025-05-28,115,2025-05-28T23:23:00
1919,Walmart,2025-05-28,555,2025-05-28T17:28:00
3852,Walmart,2025-05-28,895,2025-05-28T05:42:00
5924,eBay,2025-05-29,746,2025-05-29T07:02:00
1695,Costco,2025-05-29,1341,2025-05-29T22:13:00
9489,Costco,2025-05-29,424,2025-05-29T15:15:00
4416,Walmart,2025-05-29,722,2025-05-29T11:02:00
9360,BestBuy,2025-05-29,1156,2025-05-29T12:28:00
1434,Target,2025-05-29,136,2025-05-29T05:29:00
8426,Amazon,2025-05-30,120,2025-05-30T04:21:00
3994,Target,2025-05-30,1630,2025-05-30T07:23:00
9887,BestBuy,2025-05-30,1217,2025-05-30T21:22:00
7163,Target,2025-05-30,1521,2025-05-30T14:55:00
1925,Walmart,2025-05-31,1243,2025-05-31T17:55:00
7730,Amazon,2025-05-31,595,2025-05-31T23:02:00
4251,BestBuy,2025-05-31,1571,2025-05-31T17:54:00
2049,eBay,2025-05-31,1047,2025-05-31T09:14:00
8936,Walmart,2025-05-31,1644,2025-05-31T07:29:00
